Member_ID,Gender,Age,Locker_Rental,Visit_Frequency,Duration_Minutes
MEM_11528,Male,47,No,26,122.1
MEM_09757,Male,32,Yes,22,30.7
MEM_13414,Male,64,No,25,118.2
MEM_06237,Female,41,No,2,152.3
MEM_13726,Female,35,Yes,21,85.5
MEM_05186,Female,19,Yes,4,80.8
MEM_02316,Female,57,Yes,6,21.6
MEM_10695,Male,21,Yes,21,22.1
MEM_06624,Female,39,No,6,172.9
MEM_10597,Female,51,Yes,17,40.5
MEM_10085,Male,54,Yes,30,26.5
MEM_13007,Male,42,Yes,29,110.5
MEM_02458,Male,34,No,5,29.4
MEM_05353,Male,62,Yes,9,120.8
MEM_05407,Female,60,No,7,105.7
MEM_14492,Female,30,No,26,107.7
MEM_13282,Female,26,No,24,69.8
MEM_05079,Male,52,No,4,107.2
MEM_06393,Male,22,Yes,4,128.4
MEM_09602,Male,64,Yes,15,47.7
MEM_08500,Female,35,Yes,26,48.0
MEM_10607,Female,32,No,18,57.8
MEM_08023,Female,32,No,18,54.3
MEM_13496,Female,47,No,22,86.9
MEM_01864,Female,56,No,7,24.9
MEM_11308,Female,19,No,26,137.9
MEM_03724,Male,47,Yes,3,29.0
MEM_03821,Female,34,No,6,143.8
MEM_08736,Male,43,No,22,29.0
MEM_01145,Male,50,No,4,29.9
MEM_06925,Female,40,No,5,170.1
MEM_14435,Male,22,No,24,93.0
MEM_13351,Female,58,No,26,119.5
MEM_00733,Female,60,No,1,35.5
MEM_08978,Male,26,No,26,34.2
MEM_08833,Female,53,Yes,23,51.9
MEM_07065,Female,19,No,5,125.1
MEM_03282,Male,55,Yes,0,35.0
MEM_02457,Female,49,No,4,31.3
MEM_09971,Female,39,Yes,23,47.0
MEM_07307,Male,46,Yes,5,117.5
MEM_14527,Female,21,No,15,117.7
MEM_14140,Female,51,No,31,150.7
MEM_07624,Female,23,Yes,22,48.2
MEM_12096,Male,63,No,22,164.0
MEM_11208,Male,46,No,18,32.3
MEM_08478,Female,48,Yes,15,41.1
MEM_06092,Female,44,Yes,5,98.6
MEM_04367,Male,42,Yes,7,85.5
MEM_07873,Female,31,Yes,23,38.5
MEM_04622,Female,47,Yes,6,135.7
MEM_08861,Female,20,No,20,41.6
MEM_12667,Male,56,No,28,73.0
MEM_07278,Female,57,Yes,7,127.5
MEM_14957,Female,26,Yes,24,118.6
MEM_14599,Male,37,No,25,102.5
MEM_05556,Female,20,No,8,122.5
MEM_08614,Male,32,Yes,28,52.6
MEM_05948,Female,64,Yes,8,132.9
MEM_10137,Female,38,No,18,53.8
MEM_13594,Female,28,No,18,104.3
MEM_05437,Male,25,No,7,144.4
MEM_14959,Male,54,No,26,125.3
MEM_10744,Female,53,No,19,37.2
MEM_06723,Male,27,No,4,141.0
MEM_10073,Male,57,No,18,41.3
MEM_08498,Female,36,Yes,25,23.0
MEM_07872,Female,20,Yes,23,27.6
MEM_06023,Male,56,No,6,122.5
MEM_05436,Female,21,No,3,149.3
MEM_14491,Female,44,No,20,108.9
MEM_10031,Male,51,Yes,25,46.7
MEM_11388,Female,49,Yes,21,114.1
MEM_01793,Female,34,Yes,5,28.0
MEM_01692,Male,37,No,6,21.5
MEM_04787,Female,40,Yes,9,101.6
MEM_12465,Male,40,No,24,111.6
MEM_08294,Male,41,No,21,47.5
MEM_00493,Female,53,No,2,37.0
MEM_06572,Female,30,No,8,111.0
MEM_00157,Female,42,Yes,5,15.9
MEM_11746,Female,22,Yes,25,96.0
MEM_14475,Male,34,No,24,74.9
MEM_01463,Male,55,No,2,34.0
MEM_04807,Female,30,No,10,150.8
MEM_04176,Male,41,Yes,4,130.3
MEM_04355,Female,30,No,2,83.5
MEM_13968,Male,35,Yes,22,109.4
MEM_08760,Male,60,Yes,28,48.0
MEM_02287,Male,52,Yes,3,13.1
MEM_07532,Female,64,Yes,24,50.1
MEM_03351,Male,50,Yes,3,28.7
MEM_04450,Female,33,No,0,155.5
MEM_00965,Female,36,No,7,
MEM_07198,Male,20,Yes,4,151.9
MEM_06390,Male,41,No,6,144.1
MEM_02252,Male,26,No,1,20.6
MEM_08698,Male,42,No,20,44.6
MEM_02578,Female,42,No,5,43.9
MEM_00438,Male,30,Yes,1,25.8
MEM_04119,Male,64,No,7,148.2
MEM_08289,Female,41,Yes,17,57.3
MEM_01614,Male,32,No,4,28.1
MEM_11369,Female,51,Yes,25,128.5
MEM_08977,Male,51,No,22,36.9
MEM_04393,Male,24,No,5,124.4
MEM_13935,Female,45,Yes,23,129.7
MEM_12957,Male,45,Yes,25,131.3
MEM_13107,Male,58,No,22,111.5
MEM_00467,Male,51,No,6,25.2
MEM_10080,Female,53,Yes,28,58.0
MEM_04604,Male,24,No,10,139.3
MEM_00756,Female,48,No,5,36.9
MEM_04618,Male,29,No,9,114.8
MEM_04201,Male,46,Yes,8,142.6
MEM_02688,Male,46,Yes,6,35.1
MEM_01090,Male,37,No,4,21.9
MEM_06733,Male,30,No,7,136.1
MEM_11018,Female,58,No,22,19.0
MEM_04863,Female,22,Yes,6,120.1
MEM_09926,Male,19,Yes,21,52.4
MEM_05614,Female,48,No,8,183.6
MEM_09231,Male,42,No,21,31.8
MEM_01374,Female,49,No,7,36.9
MEM_13422,Male,54,Yes,22,95.7
MEM_01862,Female,61,Yes,6,40.4
MEM_09551,Female,38,Yes,17,37.2
MEM_05769,Female,51,Yes,5,130.7
MEM_05952,Female,19,Yes,7,107.5
MEM_04885,Female,35,No,4,128.5
MEM_07918,Female,55,No,21,42.7
MEM_08626,Female,56,No,27,33.4
MEM_01878,Male,32,No,1,21.9
MEM_14499,Male,53,Yes,22,156.4
MEM_14297,Female,46,Yes,24,95.4
MEM_10918,Male,53,No,31,40.3
MEM_01119,Male,22,Yes,6,24.8
MEM_11925,Female,52,Yes,22,94.8
MEM_08629,Female,25,Yes,28,30.0
MEM_11899,Female,35,Yes,28,132.6
MEM_14759,Female,60,Yes,26,132.6
MEM_12786,Male,58,Yes,20,130.8
MEM_13010,Male,24,No,21,94.7
MEM_02186,Female,57,No,1,42.3
MEM_09671,Male,19,No,25,46.7
MEM_10770,Female,35,No,21,32.8
MEM_14818,Male,24,Yes,27,119.3
MEM_03997,Male,55,No,7,116.7
MEM_04935,Male,29,No,7,125.0
MEM_14420,Male,33,Yes,27,129.0
MEM_01432,Male,43,No,6,28.0
MEM_04785,Female,30,No,7,142.1
MEM_11028,Female,21,No,15,21.5
MEM_06021,Male,47,Yes,7,112.5
MEM_04902,Female,51,No,7,
MEM_02174,Male,51,Yes,2,12.5
MEM_06388,Male,57,No,8,118.4
MEM_03941,Female,30,Yes,5,115.7
MEM_02102,Male,28,No,2,36.1
MEM_13903,Female,20,Yes,24,126.8
MEM_11863,Female,64,Yes,22,102.9
MEM_02656,Male,56,Yes,2,29.2
MEM_07250,Male,55,No,4,153.3
MEM_07410,Male,42,Yes,9,122.8
MEM_10894,Female,44,No,19,41.1
MEM_01934,Female,24,Yes,9,24.4
MEM_11539,Male,52,No,25,131.9
MEM_02952,Female,23,No,5,10.0
MEM_08158,Male,58,No,22,46.6
MEM_07653,Female,60,Yes,25,33.6
MEM_13114,Male,45,Yes,27,115.5
MEM_11055,Male,49,No,23,43.1
MEM_07281,Male,50,No,7,119.5
MEM_13206,Male,54,Yes,22,114.2
MEM_06384,Male,48,Yes,4,157.6
MEM_13718,Female,50,No,23,133.8
MEM_00758,Male,19,No,2,36.6
MEM_08860,Male,62,No,18,23.9
MEM_03312,Male,46,No,8,22.9
MEM_00829,Male,62,No,3,38.3
MEM_11347,Male,45,Yes,22,120.6
MEM_10606,Male,31,Yes,19,28.9
MEM_13532,Female,48,No,24,100.9
MEM_12937,Female,64,Yes,24,120.1
MEM_13562,Male,25,No,19,69.9
MEM_10083,Female,45,No,23,18.8
MEM_02447,Male,62,No,4,25.2
MEM_11721,Female,29,No,27,120.1
MEM_13543,Female,63,Yes,24,121.8
MEM_09311,Male,61,No,27,32.9
MEM_07100,Female,27,No,4,156.6
MEM_13021,Male,61,Yes,23,150.4
MEM_06611,Male,50,Yes,5,120.6
MEM_10531,Male,42,No,15,29.5
MEM_10979,Female,47,No,25,34.2
MEM_10914,Female,45,Yes,20,30.0
MEM_12611,Male,63,No,27,133.1
MEM_14852,Male,54,Yes,27,117.9
MEM_09391,Female,48,Yes,24,44.2
MEM_08943,Male,23,Yes,25,21.2
MEM_06870,Female,27,No,5,115.5
MEM_12768,Male,20,Yes,25,128.1
MEM_07197,Male,22,No,8,114.5
MEM_11578,Female,41,No,25,154.8
MEM_01459,Male,46,Yes,5,30.6
MEM_14900,Male,63,No,23,118.9
MEM_03441,Male,49,Yes,3,30.3
MEM_13049,Male,64,Yes,23,112.4
MEM_08327,Male,51,Yes,21,47.1
MEM_12829,Female,34,No,29,141.8
MEM_10295,Male,22,No,15,40.4
MEM_13288,Male,52,Yes,18,102.8
MEM_10159,Male,54,No,26,35.5
MEM_07712,Male,61,No,25,36.5
MEM_11378,Female,50,Yes,22,114.1
MEM_08631,Male,20,No,17,46.9
MEM_11283,Male,33,Yes,31,132.8
MEM_06363,Male,31,Yes,6,132.2
MEM_06517,Female,43,Yes,6,139.0
MEM_02673,Female,19,No,3,31.4
MEM_00134,Male,59,No,2,29.4
MEM_04303,Male,42,No,5,121.1
MEM_06867,Male,20,Yes,5,123.2
MEM_07586,Male,36,No,13,21.2
MEM_14049,Male,45,No,28,66.8
MEM_02929,Female,38,Yes,6,24.5
MEM_10308,Female,21,Yes,22,24.0
MEM_07053,Male,21,No,6,147.2
MEM_00799,Male,23,Yes,4,27.7
MEM_10626,Female,35,No,21,55.2
MEM_13763,Male,58,No,21,110.8
MEM_10885,Female,45,No,17,33.5
MEM_00427,Male,63,No,5,33.1
MEM_09413,Female,56,No,21,30.8
MEM_13387,Male,21,No,20,139.1
MEM_10064,Female,28,Yes,20,60.1
MEM_08035,Male,24,Yes,30,43.5
MEM_05156,Male,63,Yes,7,156.9
MEM_06503,Female,56,Yes,4,146.2
MEM_11973,Male,52,No,22,127.5
MEM_06685,Male,45,No,6,139.4
MEM_13404,Female,53,No,20,112.1
MEM_04509,Female,59,Yes,7,121.8
MEM_01255,Female,48,No,2,17.3
MEM_05404,Male,38,No,5,97.4
MEM_06424,Male,39,No,5,173.0
MEM_12522,Male,28,No,25,104.1
MEM_14328,Male,31,Yes,26,119.7
MEM_08064,Male,51,Yes,30,46.0
MEM_08834,Male,62,Yes,25,57.9
MEM_05768,Male,39,Yes,6,126.1
MEM_06108,Male,46,Yes,7,120.9
MEM_09804,Male,27,Yes,26,12.2
MEM_03131,Male,45,No,4,29.6
MEM_02318,Female,63,Yes,3,38.7
MEM_01926,Female,31,No,0,31.8
MEM_10841,Male,34,No,21,39.9
MEM_09834,Male,40,No,17,43.4
MEM_03037,Female,29,Yes,4,18.7
MEM_08449,Male,55,No,29,38.8
MEM_06275,Female,53,Yes,9,117.3
MEM_08887,Female,18,Yes,23,55.6
MEM_08675,Female,30,No,18,47.5
MEM_11533,Male,62,No,16,110.8
MEM_11571,Male,26,No,25,158.6
MEM_09767,Male,35,Yes,23,43.6
MEM_11971,Male,35,No,24,129.7
MEM_03694,Male,56,Yes,6,12.2
MEM_08525,Female,28,No,18,40.0
MEM_04506,Female,41,No,8,142.2
MEM_03746,Female,47,Yes,0,24.8
MEM_07920,Male,54,No,25,36.8
MEM_14702,Female,30,No,18,118.7
MEM_12181,Female,59,No,27,112.2
MEM_08538,Male,57,No,19,16.3
MEM_04852,Male,30,No,11,82.6
MEM_09364,Female,31,Yes,20,35.5
MEM_00381,Male,41,No,3,30.0
MEM_11398,Male,44,No,21,125.2
MEM_04246,Male,53,Yes,7,138.4
MEM_07474,Male,38,No,8,151.1
MEM_04074,Female,28,No,8,118.2
MEM_02788,Female,49,No,3,24.8
MEM_06627,Male,23,Yes,8,102.7
MEM_00000,Male,61,No,5,24.1
MEM_14885,Female,34,No,21,107.6
MEM_07387,Female,30,Yes,4,107.7
MEM_03060,Female,37,No,5,
MEM_12664,Female,43,No,22,104.0
MEM_02549,Female,64,No,8,24.1
MEM_12730,Female,63,Yes,26,126.8
MEM_05927,Female,34,Yes,9,108.9
MEM_10984,Female,55,Yes,25,40.1
MEM_11684,Female,29,Yes,20,59.8
MEM_10879,Female,19,Yes,27,35.0
MEM_03503,Female,33,No,4,39.7
MEM_07859,Female,35,No,18,27.6
MEM_04073,Male,21,No,7,130.4
MEM_07654,Female,23,No,18,32.3
MEM_05667,Female,39,No,7,95.9
MEM_00316,Female,62,Yes,5,31.9
MEM_02314,Male,41,No,5,31.8
MEM_06735,Male,36,No,6,144.5
MEM_09378,Male,32,Yes,28,45.9
MEM_07460,Female,51,No,8,142.6
MEM_02018,Male,18,Yes,5,32.1
MEM_03316,Female,21,No,4,26.2
MEM_04442,Male,23,Yes,6,145.7
MEM_05245,Male,35,Yes,6,129.7
MEM_09705,Male,35,No,22,46.0
MEM_09682,Male,49,No,24,10.3
MEM_07861,Female,50,No,22,48.8
MEM_05120,Male,24,No,8,120.3
MEM_06109,Male,45,No,10,102.9
MEM_07146,Female,53,No,3,150.6
MEM_05896,Male,38,Yes,7,135.6
MEM_13320,Female,53,No,28,106.9
MEM_09864,Female,52,Yes,25,30.5
MEM_06178,Female,59,No,7,158.2
MEM_10032,Male,40,No,21,24.8
MEM_05224,Male,36,Yes,8,143.8
MEM_04614,Male,53,Yes,8,123.4
MEM_08203,Female,60,No,22,24.4
MEM_04168,Female,59,No,5,128.0
MEM_10556,Male,55,Yes,20,48.2
MEM_06302,Female,41,Yes,5,178.8
MEM_10989,Male,49,Yes,20,29.0
MEM_00216,Male,48,No,2,33.1
MEM_08882,Male,64,No,18,35.8
MEM_05758,Female,30,Yes,5,139.6
MEM_01851,Male,23,No,8,29.0
MEM_05430,Female,40,Yes,6,115.6
MEM_03448,Male,31,Yes,3,47.8
MEM_14636,Male,54,No,30,153.6
MEM_00866,Female,20,Yes,5,41.5
MEM_08486,Male,41,No,19,63.6
MEM_00043,Female,19,No,3,27.6
MEM_00017,Male,21,No,5,43.0
MEM_11609,Male,26,Yes,24,117.4
MEM_12346,Male,57,Yes,28,113.7
MEM_01883,Female,59,Yes,3,33.0
MEM_01694,Male,46,No,4,37.6
MEM_09979,Male,23,No,20,35.8
MEM_02372,Female,47,Yes,4,22.4
MEM_09672,Female,23,No,17,30.8
MEM_12517,Male,26,No,20,101.8
MEM_05771,Male,53,Yes,10,126.4
MEM_09859,Female,36,No,18,45.2
MEM_04717,Female,26,No,9,128.6
MEM_09930,Female,18,Yes,24,52.1
MEM_12680,Female,45,Yes,25,118.7
MEM_08524,Male,24,No,19,49.3
MEM_05460,Female,51,No,3,151.8
MEM_03837,Male,49,Yes,8,115.5
MEM_13538,Female,32,No,25,98.1
MEM_06083,Male,28,Yes,5,157.0
MEM_10780,Female,53,No,13,22.7
MEM_08506,Female,28,No,20,35.0
MEM_09112,Male,22,No,20,60.0
MEM_07884,Male,20,No,26,30.2
MEM_12412,Male,53,Yes,27,126.4
MEM_12345,Male,29,No,27,156.6
MEM_13959,Female,40,Yes,25,111.2
MEM_13258,Male,30,Yes,24,75.2
MEM_12220,Male,59,No,27,115.6
MEM_03305,Male,22,No,6,12.7
MEM_00259,Female,23,No,6,36.3
MEM_12648,Male,31,Yes,22,125.8
MEM_00443,Female,58,No,4,10.0
MEM_09197,Female,18,Yes,22,20.0
MEM_14289,Female,31,No,25,112.7
MEM_06800,Female,61,Yes,5,132.9
MEM_00532,Female,24,Yes,4,41.6
MEM_10111,Male,37,Yes,19,34.5
MEM_07748,Female,59,Yes,21,42.8
MEM_10643,Male,63,No,22,33.3
MEM_08513,Male,35,No,20,43.9
MEM_14927,Male,31,No,21,160.0
MEM_14516,Male,42,No,23,121.5
MEM_13858,Male,51,No,31,108.7
MEM_08890,Female,37,Yes,19,41.7
MEM_13770,Female,19,Yes,24,152.1
MEM_00430,Male,43,No,2,32.8
MEM_06372,Female,46,No,7,159.2
MEM_04993,Male,44,No,8,101.3
MEM_02328,Female,64,Yes,5,16.6
MEM_11484,Female,19,No,23,125.9
MEM_10440,Male,64,Yes,25,49.8
MEM_07224,Male,39,Yes,4,123.2
MEM_00577,Female,51,No,6,39.0
MEM_13945,Female,36,No,22,121.3
MEM_06118,Female,32,No,7,93.1
MEM_00684,Male,28,No,2,24.5
MEM_05830,Female,29,No,9,113.4
MEM_13635,Female,49,Yes,24,98.4
MEM_07464,Female,45,No,7,132.0
MEM_14094,Male,47,No,30,97.4
MEM_03785,Female,24,Yes,4,115.4
MEM_08079,Female,44,No,20,35.2
MEM_01698,Female,31,No,5,33.2
MEM_00761,Male,21,No,4,40.6
MEM_07434,Male,22,No,5,152.1
MEM_06399,Male,38,Yes,5,108.6
MEM_00796,Male,41,Yes,4,29.0
MEM_06569,Male,34,Yes,10,111.7
MEM_04089,Female,22,No,5,110.6
MEM_12899,Female,31,No,22,110.4
MEM_09161,Male,25,No,21,37.0
MEM_12441,Female,18,Yes,27,133.4
MEM_12152,Male,21,No,25,109.2
MEM_12507,Female,22,No,26,104.1
MEM_12280,Female,48,No,20,108.3
MEM_13392,Female,26,No,24,98.8
MEM_02546,Male,48,No,1,20.7
MEM_14979,Male,58,Yes,21,114.2
MEM_01941,Male,62,No,3,12.5
MEM_08898,Male,32,No,26,40.3
MEM_05375,Female,36,No,6,103.6
MEM_14504,Female,40,Yes,23,152.1
MEM_09814,Male,50,No,27,40.8
MEM_04257,Male,53,No,9,164.6
MEM_03068,Male,22,Yes,4,30.0
MEM_10930,Female,32,No,22,27.1
MEM_14418,Male,43,No,20,126.3
MEM_01654,Female,33,Yes,5,21.5
MEM_07200,Female,30,Yes,5,122.9
MEM_04339,Male,55,Yes,5,132.1
MEM_09898,Female,27,Yes,18,55.3
MEM_11337,Female,25,No,29,86.0
MEM_00591,Female,60,No,3,31.9
MEM_05146,Male,63,No,7,153.9
MEM_10214,Female,58,Yes,21,38.5
MEM_07078,Male,52,Yes,5,143.6
MEM_01041,Male,33,Yes,3,26.0
MEM_05076,Male,40,Yes,4,161.2
MEM_02392,Female,55,Yes,1,29.8
MEM_02517,Female,62,No,0,39.7
MEM_02221,Male,28,No,3,30.0
MEM_08457,Male,18,No,25,50.0
MEM_09837,Female,18,Yes,15,37.3
MEM_04884,Female,31,Yes,4,122.1
MEM_03877,Male,49,Yes,7,149.5
MEM_07443,Female,39,No,5,104.5
MEM_07283,Male,26,No,8,140.1
MEM_11950,Female,32,No,22,129.0
MEM_04438,Male,42,Yes,7,117.2
MEM_09572,Male,25,Yes,26,31.3
MEM_07775,Female,37,No,10,40.9
MEM_06861,Male,22,No,8,134.4
MEM_12095,Male,26,Yes,25,113.2
MEM_00960,Female,58,Yes,5,23.9
MEM_04291,Male,27,No,6,160.1
MEM_11601,Male,44,No,27,138.8
MEM_11255,Female,45,No,28,131.6
MEM_04403,Female,22,Yes,3,110.5
MEM_00883,Female,31,No,6,38.4
MEM_07794,Male,47,No,13,41.0
MEM_10832,Female,31,No,19,49.2
MEM_11033,Female,36,Yes,17,31.9
MEM_02481,Female,55,Yes,7,26.4
MEM_05274,Female,29,No,6,126.9
MEM_08316,Female,40,No,30,33.8
MEM_03703,Female,54,No,2,40.2
MEM_06201,Female,47,No,6,100.2
MEM_09371,Female,44,Yes,19,59.3
MEM_12106,Male,64,No,28,117.2
MEM_14948,Female,62,No,23,138.3
MEM_01835,Female,64,No,5,22.8
MEM_04162,Male,25,No,6,161.0
MEM_07740,Female,23,No,24,53.2
MEM_01805,Male,28,No,1,15.5
MEM_04292,Male,39,No,3,161.5
MEM_14189,Female,43,No,26,121.7
MEM_02450,Male,45,No,2,24.5
MEM_01594,Male,40,Yes,0,26.7
MEM_12895,Male,34,Yes,26,138.1
MEM_03540,Male,62,Yes,5,10.0
MEM_07985,Female,48,Yes,21,53.8
MEM_10639,Female,55,No,28,48.6
MEM_10580,Male,58,No,23,63.0
MEM_13124,Female,31,Yes,18,125.4
MEM_09006,Female,62,No,24,43.5
MEM_04397,Male,27,No,9,135.6
MEM_01160,Female,32,Yes,0,24.8
MEM_03527,Male,20,Yes,8,29.3
MEM_08443,Male,44,Yes,28,40.9
MEM_11958,Female,56,No,23,95.4
MEM_13191,Male,19,Yes,20,
MEM_12013,Female,59,Yes,25,117.0
MEM_06956,Female,39,Yes,6,139.4
MEM_02154,Female,21,Yes,1,21.1
MEM_01458,Female,56,Yes,7,19.7
MEM_01206,Male,43,No,3,28.0
MEM_05327,Female,30,No,4,100.6
MEM_11830,Female,47,No,26,97.7
MEM_02742,Male,45,Yes,4,39.6
MEM_01071,Male,41,Yes,5,28.2
MEM_09081,Male,46,No,24,27.0
MEM_13347,Female,27,No,30,121.0
MEM_11220,Female,46,No,24,15.5
MEM_04398,Female,40,Yes,7,95.8
MEM_05719,Female,57,Yes,6,102.3
MEM_08425,Female,22,No,20,50.7
MEM_11629,Female,22,No,22,118.1
MEM_14388,Male,33,No,21,142.6
MEM_07807,Female,48,No,25,43.8
MEM_07439,Male,41,Yes,3,128.5
MEM_01147,Male,63,Yes,1,18.8
MEM_14888,Male,33,No,24,106.1
MEM_09003,Female,50,No,18,45.4
MEM_10299,Male,22,Yes,19,23.9
MEM_03772,Female,28,No,6,115.6
MEM_12836,Male,31,No,24,121.1
MEM_08280,Male,30,No,20,35.7
MEM_01886,Female,46,No,2,50.8
MEM_00623,Male,57,Yes,7,31.4
MEM_07475,Male,52,Yes,0,123.3
MEM_01339,Male,39,No,4,22.9
MEM_14828,Female,33,Yes,20,124.9
MEM_07436,Male,56,Yes,8,134.1
MEM_04772,Female,55,Yes,5,126.8
MEM_03080,Male,49,Yes,6,34.4
MEM_03794,Female,32,No,8,94.6
MEM_01501,Female,42,Yes,3,24.6
MEM_14838,Male,44,Yes,23,136.3
MEM_06932,Male,60,No,6,158.9
MEM_13745,Female,55,Yes,22,141.0
MEM_11325,Male,46,No,30,119.1
MEM_11604,Female,35,Yes,26,128.5
MEM_06951,Male,28,No,7,133.0
MEM_02532,Male,56,No,5,39.2
MEM_14043,Male,51,Yes,29,124.2
MEM_06306,Female,21,No,6,113.9
MEM_13244,Male,58,No,18,121.9
MEM_09992,Female,55,No,24,43.1
MEM_07816,Male,22,No,28,30.6
MEM_06630,Male,42,Yes,11,143.9
MEM_12049,Male,33,No,28,102.7
MEM_10029,Male,43,Yes,23,40.6
MEM_11804,Male,31,Yes,22,134.0
MEM_07089,Male,40,Yes,5,133.3
MEM_01472,Male,32,Yes,4,27.8
MEM_05821,Male,28,Yes,5,113.5
MEM_12108,Female,55,Yes,20,123.7
MEM_00849,Male,64,No,3,43.1
MEM_10050,Female,47,No,22,38.2
MEM_06518,Female,22,No,6,121.7
MEM_07284,Female,24,No,4,140.9
MEM_04783,Male,22,No,9,145.4
MEM_02210,Female,54,No,1,21.9
MEM_10575,Male,21,No,21,54.1
MEM_03526,Female,43,Yes,4,19.5
MEM_08163,Female,20,Yes,22,42.9
MEM_07441,Male,39,No,5,132.3
MEM_13451,Male,28,Yes,20,122.6
MEM_11474,Male,41,No,22,154.2
MEM_07261,Male,52,Yes,6,138.7
MEM_03424,Male,23,No,0,43.7
MEM_00414,Female,22,No,5,25.7
MEM_11651,Female,38,Yes,26,107.3
MEM_08170,Female,34,Yes,20,27.4
MEM_06920,Female,29,No,8,132.7
MEM_06389,Male,31,No,3,120.8
MEM_11998,Male,45,Yes,25,122.4
MEM_02094,Male,31,Yes,6,37.2
MEM_13630,Male,59,Yes,28,134.5
MEM_09522,Female,52,No,24,55.9
MEM_05928,Female,36,No,7,121.8
MEM_02340,Male,47,No,5,37.5
MEM_00265,Female,23,No,2,24.2
MEM_06839,Female,47,Yes,5,153.9
MEM_09983,Female,24,Yes,20,40.7
MEM_05992,Female,57,Yes,3,125.5
MEM_09188,Female,56,No,23,42.9
MEM_03542,Male,23,No,6,23.7
MEM_04469,Female,55,Yes,3,75.8
MEM_08091,Male,44,Yes,21,26.9
MEM_14465,Male,24,Yes,20,112.9
MEM_02142,Male,35,No,4,16.0
MEM_03851,Male,40,Yes,5,140.8
MEM_05038,Male,39,No,7,107.6
MEM_01082,Female,24,Yes,3,
MEM_01671,Female,42,No,3,18.1
MEM_08565,Male,44,No,23,49.0
MEM_14035,Male,51,Yes,29,97.6
MEM_12539,Female,58,No,24,158.5
MEM_01503,Female,37,No,4,15.2
MEM_01971,Female,24,Yes,0,47.2
MEM_14347,Male,30,No,27,95.2
MEM_03798,Female,49,Yes,7,124.0
MEM_00694,Male,45,No,5,10.6
MEM_03855,Female,61,No,5,158.4
MEM_11851,Female,54,Yes,20,133.8
MEM_05278,Male,19,No,7,74.3
MEM_14832,Female,61,Yes,23,93.7
MEM_09338,Female,30,Yes,23,52.5
MEM_13700,Male,45,No,22,100.5
MEM_03094,Female,45,No,2,54.4
MEM_10075,Male,24,Yes,19,38.3
MEM_06013,Male,32,No,7,136.8
MEM_14234,Female,48,No,25,112.8
MEM_14011,Male,48,No,28,134.5
MEM_04754,Female,22,No,3,96.3
MEM_06333,Male,46,Yes,9,150.5
MEM_03244,Female,27,No,4,23.7
MEM_03100,Female,29,Yes,3,18.8
MEM_05202,Female,43,Yes,4,109.8
MEM_03563,Female,41,No,6,10.5
MEM_07344,Female,36,No,5,134.0
MEM_08805,Female,31,No,22,48.8
MEM_11802,Male,27,Yes,26,134.7
MEM_13061,Female,64,Yes,26,129.6
MEM_14378,Female,40,No,24,142.7
MEM_08731,Female,19,No,19,45.1
MEM_13791,Male,48,Yes,22,127.7
MEM_09982,Male,35,Yes,23,35.0
MEM_13692,Male,28,Yes,25,135.2
MEM_14835,Female,22,Yes,26,83.0
MEM_14112,Male,29,No,23,107.2
MEM_09643,Male,36,No,29,32.8
MEM_03231,Female,63,No,0,43.1
MEM_09978,Male,54,No,24,28.2
MEM_11616,Female,24,No,26,91.9
MEM_02484,Female,22,No,3,27.8
MEM_10416,Male,35,Yes,30,45.9
MEM_10329,Female,53,No,21,38.4
MEM_00952,Male,47,No,1,36.7
MEM_11770,Female,39,Yes,22,131.1
MEM_09899,Female,20,Yes,24,26.4
MEM_03409,Male,48,No,8,26.0
MEM_05483,Female,61,Yes,6,145.8
MEM_01718,Male,24,No,5,26.7
MEM_06329,Female,53,Yes,4,103.6
MEM_12163,Female,37,No,20,132.2
MEM_08952,Female,40,No,23,38.3
MEM_12320,Female,22,No,22,92.4
MEM_07471,Female,18,No,5,124.7
MEM_11893,Male,35,Yes,28,157.5
MEM_07963,Male,56,No,24,44.2
MEM_08019,Female,53,No,23,40.5
MEM_02564,Male,19,No,2,41.0
MEM_01146,Male,33,Yes,2,13.1
MEM_01937,Male,40,Yes,5,25.0
MEM_10708,Female,42,No,21,30.6
MEM_01031,Female,61,Yes,1,32.9
MEM_03884,Male,24,No,10,125.9
MEM_10224,Female,27,Yes,22,22.3
MEM_05639,Female,28,No,8,127.1
MEM_12614,Female,62,No,23,134.5
MEM_07332,Female,31,Yes,7,140.1
MEM_08206,Female,41,Yes,17,31.7
MEM_03858,Female,37,Yes,5,116.4
MEM_00096,Female,26,Yes,5,40.9
MEM_13525,Female,47,Yes,21,114.4
MEM_03130,Female,57,No,4,31.9
MEM_02474,Female,27,No,5,35.2
MEM_03931,Male,57,No,4,137.0
MEM_02627,Female,34,No,5,30.6
MEM_03773,Female,32,No,7,145.7
MEM_05196,Female,32,Yes,6,158.5
MEM_02239,Male,33,Yes,5,26.1
MEM_10373,Female,59,Yes,28,36.5
MEM_11446,Female,58,Yes,20,111.5
MEM_05148,Male,42,No,4,94.1
MEM_12268,Male,43,No,24,127.1
MEM_11034,Male,56,No,22,29.9
MEM_03027,Female,45,No,5,33.2
MEM_08624,Female,54,Yes,25,39.8
MEM_02389,Male,41,No,6,39.6
